action, date, account, security, optionalSymbol,shares, price, amount, commissionFee, num, payee, memo, clearedStatus,category, tag, transferAccount,basisDate
COMMENT,Action and date and account are always required.  Date can be YYYY-MM-DD or MM/DD/YYYY.  COMMENT items are ignored when importing.,,,,,,,,,,,,,,,
COMMENT,For Stock Splits the ratio of old to new shares should be in the 'shares' column.,,,,,,,,,,,,,,,
COMMENT,If there is no exact match to the security provided import will attempt to match to a Quicken security using the optionalSymbol (if present).,,,,,,,,,,,,,,,
COMMENT,Valid actions:,,,,,,,,,,,,,,,
COMMENT,Cash Bought BoughtX CGLong CGLongX CGShort CGShortX Div DivX IntInc MargInt MiscExp ReinvDiv ReinvLg ReinvSh Reminder RtrnCap,,,,,,,,,,,,,,,
COMMENT,Sold SoldX Added Removed StkSplit XIn XOut MiscInc ReinvInt RtrnCapX IntIncX MiscExpX MiscIncX MargIntX CGMid CGMidX ReinvMd,,,,,,,,,,,,,,,
COMMENT,ShtSell ShtSellX CvrShrt CvtShrtX Reprice ContribX WithdrwX,,,,,,,,,,,,,,,
COMMENT,Special characters [ / | ^ : ] in account  category and tag names will be changed to hyphens,,,,,,,,,,,,,,,
COMMENT,If the amount is omitted in Buy  Sell and Reinvest transactions  it will be calculated from price  shares and commission.,,,,,,,,,,,,,,,
COMMENT,Examples:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bought,2/15/2025,Brokerage,Apple,,50,125,6254,4,,,creating a position,,,,,
Sold,2/16/2025,Brokerage,Apple,,50,127,,6,,,small gain,,,,,
Div,3/13/2025,Brokerage,Apple,AAPL,,,100,,,,cash dividend received,c,,,,
StkSplit,6/30/2025,Brokerage,Apple,,1.5,,,,,,3:2 Stock split,,,,,
MiscExp,7/20/2025,Brokerage,,,,,-150.25,,,Distribution fee,,c,InvestExpense,tag:subtag,,
Reminder,12/31/2025,Brokerage,,,,,,,Reminder description,Reminder memo,,,,,,
